Geographic Area Name, Total
"Our Town CDP, Alabama",202
"Owens Cross Roads town, Alabama",1102
"Oxford city, Alabama",6978
"Ozark city, Alabama",4038
"Parrish town, Alabama",X
"Pea Ridge CDP, Alabama",293
"Pelham city, Alabama",9898
"Pell City city, Alabama",5142
"Perdido CDP, Alabama",178
"Perdido Beach town, Alabama",234
"Phenix City city, Alabama",6978
"Phil Campbell town, Alabama",324
"Piedmont city, Alabama",1826
"Pike Road town, Alabama",3243
"Pinckard town, Alabama",X
"Pine Hill town, Alabama",X
"Pine Level CDP, Alabama",1947
"Pinson city, Alabama",1985
"Pisgah town, Alabama",267
"Pleasant Grove city, Alabama",1674
"Pleasant Groves town, Alabama",102
"Point Clear CDP, Alabama",777
"Powell town, Alabama",213
"Prattville city, Alabama",13768
"Priceville town, Alabama",1637
"Prichard city, Alabama",707
"Ragland town, Alabama",577
"Rainbow City city, Alabama",3895
"Rainsville city, Alabama",2018
"Ranburne town, Alabama",127
"Ray CDP, Alabama",110
"Red Bay city, Alabama",1037
"Redland CDP, Alabama",2125
"Red Level town, Alabama",229
"Redstone Arsenal CDP, Alabama",289
"Reece City town, Alabama",X
"Reeltown CDP, Alabama",292
"Reform town, Alabama",252
"Rehobeth town, Alabama",687
"Remlap CDP, Alabama",984
"Repton town, Alabama",95
"River Falls town, Alabama",X
"Riverside city, Alabama",849
"Riverview town, Alabama",94
"Roanoke city, Alabama",1123
"Robertsdale city, Alabama",2780
"Rock Creek CDP, Alabama",626
"Rockford town, Alabama",109
"Rock Mills CDP, Alabama",165
"Rogersville town, Alabama",X
"Rosa town, Alabama",X
"Russellville city, Alabama",2110
"Rutledge town, Alabama",132
"St. Florian town, Alabama",289
"St. Stephens CDP, Alabama",X
"Saks CDP, Alabama",3143
"Samson city, Alabama",493
"Sand Rock town, Alabama",X
"Sanford town, Alabama",X
"Saraland city, Alabama",5731
"Sardis City town, Alabama",718
"Satsuma city, Alabama",2913
"Scottsboro city, Alabama",6358
"Section town, Alabama",296
"Selma city, Alabama",1279
"Semmes city, Alabama",1654
"Sheffield city, Alabama",2720
"Shelby CDP, Alabama",344
"Shiloh town, Alabama",97
"Shoal Creek CDP, Alabama",970
"Silverhill town, Alabama",393
"Sipsey town, Alabama",X
"Skyline town, Alabama",249
"Slocomb city, Alabama",582
"Smiths Station city, Alabama",1789
"Smoke Rise CDP, Alabama",838
"Snead town, Alabama",306
"Somerville town, Alabama",X
"Southside city, Alabama",4117
"South Vinemont town, Alabama",X
"Spanish Fort city, Alabama",4598
"Springville city, Alabama",2415
"Spruce Pine CDP, Alabama",X
"Stapleton CDP, Alabama",930
"Steele town, Alabama",360
"Sterrett CDP, Alabama",318
"Stevenson city, Alabama",545
"Stewartville CDP, Alabama",489
"Stockton CDP, Alabama",X
"Sulligent city, Alabama",511
"Sumiton city, Alabama",758
"Summerdale town, Alabama",X
"Susan Moore town, Alabama",229
"Sylacauga city, Alabama",2986
"Sylvania town, Alabama",536
"Sylvan Springs town, Alabama",724
"Talladega city, Alabama",2182
"Tallassee city, Alabama",1397
"Tarrant city, Alabama",566
"Taylor town, Alabama",852
"Theodore CDP, Alabama",1836
"Thomasville city, Alabama",635
"Thorsby town, Alabama",809
"Tidmore Bend CDP, Alabama",427
"Tillmans Corner CDP, Alabama",5073
"Town Creek town, Alabama",210
"Trafford town, Alabama",254
"Triana town, Alabama",728
"Trinity town, Alabama",922
"Troy city, Alabama",4128
"Trussville city, Alabama",12539
"Tuscaloosa city, Alabama",23883
"Tuscumbia city, Alabama",2915
"Twin town, Alabama",134
"Underwood-Petersville CDP, Alabama",1278
"Union Springs city, Alabama",134
"Valley city, Alabama",2398
"Valley Grande city, Alabama",975
"Valley Head town, Alabama",230
"Vance town, Alabama",688
"Vandiver CDP, Alabama",X
"Vernon city, Alabama",672
"Vestavia Hills city, Alabama",21386
"Vina town, Alabama",X
"Vincent town, Alabama",664
"Wadley town, Alabama",98
"Walnut Grove town, Alabama",253
"Warrior city, Alabama",1128
"Weaver city, Alabama",1283
"Webb town, Alabama",389
"Wedowee town, Alabama",185
"West Blocton town, Alabama",300
"West End-Cobb Town CDP, Alabama",975
"West Jefferson town, Alabama",X
"Westover town, Alabama",737
"West Point town, Alabama",X
"Wetumpka city, Alabama",1840
"White Plains CDP, Alabama",X
"Whitesboro CDP, Alabama",843
"Wilsonville town, Alabama",765
"Wilton town, Alabama",172
"Winfield city, Alabama",1725
"Woodstock town, Alabama",490
"Woodville town, Alabama",X
"Anchorage municipality, Alaska",104083
"Anchor Point CDP, Alaska",985
"Badger CDP, Alaska",7766
"Bear Creek CDP, Alaska",900
"Bethel city, Alaska",748
"Big Delta CDP, Alaska",188
"Big Lake CDP, Alaska",1440
"Buffalo Soapstone CDP, Alaska",457
"Butte CDP, Alaska",1637
"Chena Ridge CDP, Alaska",2897
"Chickaloon CDP, Alaska",144
"Clam Gulch CDP, Alaska",X
"Coffman Cove city, Alaska",98
"Cohoe CDP, Alaska",687
"College CDP, Alaska",4748
"Cooper Landing CDP, Alaska",X
"Cordova city, Alaska",942
"Craig city, Alaska",378
"Delta Junction city, Alaska",381
"Deltana CDP, Alaska",1013
"Denali Park CDP, Alaska",94
"Diamond Ridge CDP, Alaska",710
"Dillingham city, Alaska",315
"Eielson AFB CDP, Alaska",797
"Ester CDP, Alaska",1104
"Fairbanks city, Alaska",9325
"False Pass city, Alaska",X
"Farmers Loop CDP, Alaska",2247
"Farm Loop CDP, Alaska",1297
"Fishhook CDP, Alaska",2228
"Fox CDP, Alaska",X
"Fox River CDP, Alaska",X
"Fritz Creek CDP, Alaska",1229
"Funny River CDP, Alaska",518
"Gateway CDP, Alaska",2503
"Glacier View CDP, Alaska",237
"Goldstream CDP, Alaska",1677
"Gustavus city, Alaska",399
"Haines CDP, Alaska",821
"Happy Valley CDP, Alaska",292
"Harding-Birch Lakes CDP, Alaska",138
"Healy CDP, Alaska",447
"Homer city, Alaska",2974
"Hoonah city, Alaska",182
"Houston city, Alaska",630
"Juneau city and borough, Alaska",13691
"Kachemak city, Alaska",303
"Kalifornsky CDP, Alaska",3567
"Kasilof CDP, Alaska",239
"Kenai city, Alaska",3042
"Ketchikan city, Alaska",2766
"King Salmon CDP, Alaska",106
"Klawock city, Alaska",140
"Knik-Fairview CDP, Alaska",7735
"Knik River CDP, Alaska",328
"Kodiak city, Alaska",1164
"Kodiak Station CDP, Alaska",680
"Kotzebue city, Alaska",284
"Lazy Mountain CDP, Alaska",749
"Meadow Lakes CDP, Alaska",3798
"Mill Bay CDP, Alaska",1516
"Moose Creek CDP, Alaska",214
"Moose Pass CDP, Alaska",X
"Mud Bay CDP, Alaska",95
"Nikiski CDP, Alaska",1630
"Nikolaevsk CDP, Alaska",146
"Ninilchik CDP, Alaska",307
"Nome city, Alaska",517
"North Lakes CDP, Alaska",3969
"North Pole city, Alaska",839
"Palmer city, Alaska",2268
"Petersburg CDP, Alaska",1361
"Pleasant Valley CDP, Alaska",249
"Point MacKenzie CDP, Alaska",157
"Ridgeway CDP, Alaska",1090
"Salamatof CDP, Alaska",X
"Salcha CDP, Alaska",436
"Seward city, Alaska",910
"Sitka city and borough, Alaska",3161
"Skagway CDP, Alaska",516
"Soldotna city, Alaska",2019
"South Lakes CDP, Alaska",2348
"South Van Horn CDP, Alaska",188
"Steele Creek CDP, Alaska",2864
"Sterling CDP, Alaska",2494
"Susitna North CDP, Alaska",586
"Sutton-Alpine CDP, Alaska",348
"Talkeetna CDP, Alaska",503
"Tanaina CDP, Alaska",3917
"Thorne Bay city, Alaska",X
"Tok CDP, Alaska",263
"Trapper Creek CDP, Alaska",133
"Two Rivers CDP, Alaska",317
"Unalaska city, Alaska",895
"Utqiaġvik city, Alaska",361
"Valdez city, Alaska",1453
