Geographic Area Name, Total
"Bowersville town, Georgia",X
"Bowman city, Georgia",X
"Braselton town, Georgia",5697
"Braswell town, Georgia",109
"Bremen city, Georgia",2628
"Brookhaven city, Georgia",20953
"Brooklet city, Georgia",695
"Brooks town, Georgia",X
"Broxton city, Georgia",179
"Brunswick city, Georgia",1823
"Buchanan city, Georgia",X
"Buckhead CDP, Georgia",2005
"Buena Vista city, Georgia",X
"Buford city, Georgia",4454
"Butler city, Georgia",333
"Byron city, Georgia",1640
"Cairo city, Georgia",1336
"Calhoun city, Georgia",4568
"Camilla city, Georgia",370
"Candler-McAfee CDP, Georgia",1861
"Canon city, Georgia",147
"Canton city, Georgia",12032
"Carnesville city, Georgia",221
"Carrollton city, Georgia",6730
"Cartersville city, Georgia",7369
"Cataula CDP, Georgia",561
"Cave Spring city, Georgia",327
"Cedartown city, Georgia",1718
"Centerville city, Georgia",2425
"Centralhatchee town, Georgia",117
"Chamblee city, Georgia",6379
"Chatsworth city, Georgia",1532
"Chattahoochee Hills city, Georgia",1149
"Chattanooga Valley CDP, Georgia",1570
"Chickamauga city, Georgia",1213
"Clarkesville city, Georgia",751
"Clarkston city, Georgia",643
"Claxton city, Georgia",409
"Clayton city, Georgia",770
"Clermont town, Georgia",447
"Cleveland city, Georgia",1162
"Clyattville CDP, Georgia",172
"Cochran city, Georgia",886
"Cohutta city, Georgia",358
"Colbert city, Georgia",280
"College Park city, Georgia",982
"Collins city, Georgia",119
"Colquitt city, Georgia",379
"Columbus city, Georgia",41729
"Comer city, Georgia",435
"Commerce city, Georgia",2508
"Concord city, Georgia",102
"Conley CDP, Georgia",309
"Conyers city, Georgia",1101
"Coolidge city, Georgia",X
"Cordele city, Georgia",1031
"Cornelia city, Georgia",929
"Country Club Estates CDP, Georgia",1613
"Covington city, Georgia",2519
"Crawford city, Georgia",205
"Crescent CDP, Georgia",136
"Crooked Creek CDP, Georgia",X
"Cumming city, Georgia",2010
"Cusseta-Chattahoochee County unified government, Georgia",2755
"Cuthbert city, Georgia",148
"Dacula city, Georgia",1722
"Dahlonega city, Georgia",3528
"Dallas city, Georgia",3322
"Dalton city, Georgia",5985
"Danielsville city, Georgia",274
"Darien city, Georgia",400
"Dasher town, Georgia",X
"Dawson city, Georgia",X
"Dawsonville city, Georgia",1522
"Dearing town, Georgia",X
"Decatur city, Georgia",12344
"Deenwood CDP, Georgia",678
"Demorest city, Georgia",587
"Dock Junction CDP, Georgia",1603
"Doerun city, Georgia",122
"Donalsonville city, Georgia",X
"Doraville city, Georgia",1038
"Douglas city, Georgia",1605
"Douglasville city, Georgia",4114
"Druid Hills CDP, Georgia",5202
"Dublin city, Georgia",2446
"Dudley city, Georgia",224
"Duluth city, Georgia",6854
"Dunwoody city, Georgia",18546
"Dutch Island CDP, Georgia",810
"East Dublin city, Georgia",381
"East Ellijay city, Georgia",X
"East Griffin CDP, Georgia",360
"Eastman city, Georgia",1289
"East Newnan CDP, Georgia",256
"East Point city, Georgia",2149
"Eatonton city, Georgia",888
"Echols County consolidated government, Georgia",846
"Elberton city, Georgia",940
"Ellaville city, Georgia",X
"Ellerslie CDP, Georgia",513
"Ellijay city, Georgia",464
"Emerson city, Georgia",555
"Empire CDP, Georgia",141
"Enigma town, Georgia",X
"Ephesus city, Georgia",X
"Epworth CDP, Georgia",159
"Eton city, Georgia",214
"Euharlee city, Georgia",1737
"Evans CDP, Georgia",14844
"Experiment CDP, Georgia",381
"Fairburn city, Georgia",833
"Fairfield Plantation CDP, Georgia",2153
"Fairmount city, Georgia",X
"Fair Oaks CDP, Georgia",796
"Fairplay CDP, Georgia",528
"Fairview CDP, Georgia",2209
"Fayetteville city, Georgia",4482
"Fitzgerald city, Georgia",1276
"Flemington city, Georgia",170
"Flovilla city, Georgia",X
"Flowery Branch city, Georgia",3917
"Folkston city, Georgia",343
"Forest Park city, Georgia",1033
"Forsyth city, Georgia",852
"Fort Gaines city, Georgia",103
"Fort Oglethorpe city, Georgia",4018
"Fort Stewart CDP, Georgia",1868
"Fort Valley city, Georgia",405
"Franklin city, Georgia",198
"Franklin Springs city, Georgia",280
"Gainesville city, Georgia",9426
"Garden City city, Georgia",1640
"Georgetown CDP, Georgia",3302
"Georgetown-Quitman County unified government, Georgia",492
"Gibson city, Georgia",148
"Gillsville city, Georgia",X
"Glennville city, Georgia",907
"Glenwood city, Georgia",X
"Good Hope city, Georgia",98
"Gordon city, Georgia",238
"Grantville city, Georgia",731
"Gray city, Georgia",878
"Grayson city, Georgia",1039
"Greensboro city, Georgia",326
"Greenville city, Georgia",X
"Gresham Park CDP, Georgia",898
"Griffin city, Georgia",4280
"Grovetown city, Georgia",3627
"Gumlog CDP, Georgia",836
"Guyton city, Georgia",707
"Hagan city, Georgia",X
"Hahira city, Georgia",1034
"Hamilton city, Georgia",521
"Hampton city, Georgia",1437
"Hannahs Mill CDP, Georgia",1019
"Hapeville city, Georgia",1108
"Hardwick CDP, Georgia",177
"Harlem city, Georgia",1182
"Hartwell city, Georgia",X
"Hawkinsville city, Georgia",751
"Hazlehurst city, Georgia",896
"Helen city, Georgia",252
"Henderson CDP, Georgia",651
"Hephzibah city, Georgia",1033
"Heron Bay CDP, Georgia",691
"Hiawassee city, Georgia",X
"Higgston town, Georgia",X
"Hinesville city, Georgia",5781
"Hiram city, Georgia",957
"Hoboken city, Georgia",202
"Hogansville city, Georgia",677
"Holly Springs city, Georgia",7276
"Homeland city, Georgia",221
"Homer town, Georgia",X
"Homerville city, Georgia",390
"Hoschton city, Georgia",1085
"Hull city, Georgia",98
"Ila city, Georgia",X
"Indian Springs CDP, Georgia",958
"Irondale CDP, Georgia",451
"Isle of Hope CDP, Georgia",1493
"Ivey city, Georgia",346
"Jackson city, Georgia",1044
"Jasper city, Georgia",1599
"Jefferson city, Georgia",5495
"Jeffersonville city, Georgia",133
"Jekyll Island CDP, Georgia",553
"Jenkinsburg city, Georgia",116
"Jesup city, Georgia",1821
"Johns Creek city, Georgia",25645
"Jonesboro city, Georgia",460
"Juliette CDP, Georgia",95
"Kennesaw city, Georgia",10550
"Kings Bay Base CDP, Georgia",507
"Kingsland city, Georgia",6466
"Kingston city, Georgia",207
"LaFayette city, Georgia",2050
"LaGrange city, Georgia",4977
"Lake City city, Georgia",166
"Lakeland city, Georgia",504
"Lake Park city, Georgia",261
"Lakeview CDP, Georgia",1817
"Lakeview Estates CDP, Georgia",159
"Lavonia city, Georgia",641
"Lawrenceville city, Georgia",4761
"Leesburg city, Georgia",1020
"Lenox town, Georgia",126
"Lexington city, Georgia",124
"Lilburn city, Georgia",2221
"Lincolnton city, Georgia",314
"Lindale CDP, Georgia",1576
"Lithia Springs CDP, Georgia",2376
"Locust Grove city, Georgia",1531
"Loganville city, Georgia",3489
"Lookout Mountain city, Georgia",997
"Louisville city, Georgia",X
"Lovejoy city, Georgia",325
"Ludowici city, Georgia",389
"Lula city, Georgia",927
"Lumber City city, Georgia",138
"Luthersville city, Georgia",103
"Lyerly town, Georgia",X
"Lyons city, Georgia",786
"Mableton CDP, Georgia",6513
"McCaysville city, Georgia",399
"McDonough city, Georgia",2727
"Macon-Bibb County, Georgia",29326
"McRae-Helena city, Georgia",719
"Madison city, Georgia",1156
"Manchester city, Georgia",718
"Mansfield city, Georgia",162
"Marietta city, Georgia",15868
"Martin town, Georgia",115
"Martinez CDP, Georgia",13195
"Maysville town, Georgia",668
"Meigs city, Georgia",X
"Menlo city, Georgia",X
"Metter city, Georgia",839
"Midway city, Georgia",488
"Milan city, Georgia",156
"Milledgeville city, Georgia",2512
"Millen city, Georgia",406
"Milner city, Georgia",X
"Milstead CDP, Georgia",X
"Milton city, Georgia",17748
"Mineral Bluff CDP, Georgia",X
"Monroe city, Georgia",3169
"Montezuma city, Georgia",322
"Montgomery CDP, Georgia",1787
"Monticello city, Georgia",504
"Moody AFB CDP, Georgia",131
"Moreland town, Georgia",106
"Morganton city, Georgia",X
"Morrow city, Georgia",325
"Moultrie city, Georgia",2116
"Mountain City town, Georgia",340
"Mountain Park city, Georgia",341
"Mountain Park CDP, Georgia",3992
"Mount Airy town, Georgia",420
"Mount Vernon city, Georgia",X
"Mount Zion city, Georgia",557
"Nahunta city, Georgia",247
"Nashville city, Georgia",1295
"Nelson city, Georgia",X
"Newborn town, Georgia",204
"New England CDP, Georgia",181
"Newnan city, Georgia",12660
"Nicholson city, Georgia",551
"Norcross city, Georgia",2031
"Norman Park city, Georgia",184
"North Decatur CDP, Georgia",8195
"North Druid Hills CDP, Georgia",7434
"North High Shoals town, Georgia",255
"Nunez city, Georgia",123
"Oak Park town, Georgia",187
"Oakwood city, Georgia",1332
"Ochlocknee town, Georgia",110
"Ocilla city, Georgia",434
"Odum city, Georgia",190
"Offerman city, Georgia",X
"Oglethorpe city, Georgia",96
"Omega city, Georgia",125
"Oxford city, Georgia",359
"Palmetto city, Georgia",593
"Panthersville CDP, Georgia",199
"Patterson city, Georgia",X
"Pavo city, Georgia",X
"Peachtree City city, Georgia",18500
"Peachtree Corners city, Georgia",12955
"Pearson city, Georgia",153
"Pelham city, Georgia",476
"Pembroke city, Georgia",632
"Pendergrass town, Georgia",434
"Perry city, Georgia",5804
"Pine Lake city, Georgia",340
"Pine Mountain town, Georgia",400
"Piney Grove CDP, Georgia",X
"Pitts city, Georgia",103
"Plains city, Georgia",106
"Pooler city, Georgia",7757
"Portal town, Georgia",123
"Porterdale city, Georgia",460
"Port Wentworth city, Georgia",2047
"Poulan city, Georgia",X
"Powder Springs city, Georgia",2381
"Putney CDP, Georgia",558
"Quitman city, Georgia",455
"Raoul CDP, Georgia",X
"Ray City city, Georgia",207
"Rayle town, Georgia",107
"Redan CDP, Georgia",453
"Reed Creek CDP, Georgia",1306
"Reidsville city, Georgia",500
"Remerton city, Georgia",171
"Rentz city, Georgia",100
"Resaca town, Georgia",170
"Reynolds city, Georgia",159
"Rhine town, Georgia",X
"Richland city, Georgia",117
"Richmond Hill city, Georgia",5923
"Rincon city, Georgia",3652
"Ringgold city, Georgia",1231
"Riverdale city, Georgia",282
"Roberta city, Georgia",X
"Robins AFB CDP, Georgia",317
"Rochelle city, Georgia",196
"Rockmart city, Georgia",1210
"Rock Spring CDP, Georgia",494
"Rocky Ford town, Georgia",99
"Rome city, Georgia",8745
"Rossville city, Georgia",1086
"Roswell city, Georgia",39578
"Royston city, Georgia",727
"Russell CDP, Georgia",299
"Rutledge city, Georgia",272
"St. Marys city, Georgia",7345
"St. Simons CDP, Georgia",8830
"Sandersville city, Georgia",938
"Sandy Springs city, Georgia",37168
"Sardis city, Georgia",273
"Satilla CDP, Georgia",X
"Sautee-Nacoochee CDP, Georgia",176
"Savannah city, Georgia",28920
"Scottdale CDP, Georgia",2364
"Screven city, Georgia",203
"Senoia city, Georgia",2374
"Shannon CDP, Georgia",X
"Sharpsburg town, Georgia",110
"Shellman city, Georgia",114
"Skidaway Island CDP, Georgia",6008
"Sky Valley city, Georgia",191
"Smyrna city, Georgia",16174
"Snellville city, Georgia",4616
"Social Circle city, Georgia",1256
"Soperton city, Georgia",395
"South Fulton city, Georgia",1678
"Sparks town, Georgia",189
"Springfield city, Georgia",819
"Statesboro city, Georgia",7430
"Statham city, Georgia",788
"Sterling CDP, Georgia",679
"Stillmore city, Georgia",96
"Stockbridge city, Georgia",1876
"Stonecrest city, Georgia",702
"Stone Mountain city, Georgia",566
"Sugar Hill city, Georgia",7622
"Summerville city, Georgia",1098
"Sunnyside CDP, Georgia",X
"Sunset Village CDP, Georgia",363
"Suwanee city, Georgia",6524
"Swainsboro city, Georgia",984
"Sycamore city, Georgia",123
"Sylvania city, Georgia",535
"Sylvester city, Georgia",826
"Talahi Island CDP, Georgia",X
"Talbotton city, Georgia",101
"Tallapoosa city, Georgia",1117
"Talmo town, Georgia",145
"Taylorsville town, Georgia",101
"Temple city, Georgia",1585
"Tennille city, Georgia",140
"Thomaston city, Georgia",2040
"Thomasville city, Georgia",4023
"Thomson city, Georgia",829
"Thunderbolt town, Georgia",797
"Tifton city, Georgia",3608
"Tiger town, Georgia",173
"Toccoa city, Georgia",3227
"Trenton city, Georgia",768
"Trion town, Georgia",469
"Tucker city, Georgia",9930
"Tunnel Hill city, Georgia",X
"Turin town, Georgia",X
"Twin City city, Georgia",292
"Tybee Island city, Georgia",1795
"Tyrone town, Georgia",2646
"Ty Ty city, Georgia",95
"Unadilla city, Georgia",X
"Union City city, Georgia",627
"Union Point city, Georgia",196
"Uvalda city, Georgia",X
"Valdosta city, Georgia",9489
"Varnell city, Georgia",X
"Vernonburg town, Georgia",100
"Vidalia city, Georgia",2469
"Vienna city, Georgia",X
"Villa Rica city, Georgia",3837
"Vinings CDP, Georgia",4545
"Waco city, Georgia",X
"Wadley city, Georgia",X
"Waleska city, Georgia",X
"Walnut Grove city, Georgia",531
"Walthourville city, Georgia",506
"Waresboro CDP, Georgia",X
"Warm Springs city, Georgia",97
"Warner Robins city, Georgia",18275
"Warrenton city, Georgia",141
"Washington city, Georgia",552
"Watkinsville city, Georgia",1415
"Waverly CDP, Georgia",103
"Waverly Hall town, Georgia",162
"Waycross city, Georgia",2050
"Waynesboro city, Georgia",686
"Waynesville CDP, Georgia",113
"Webster County unified government, Georgia",507
"West Brow CDP, Georgia",408
"West Point city, Georgia",621
"White city, Georgia",229
"Whitemarsh Island CDP, Georgia",3494
"Whitesburg city, Georgia",181
"Wildwood CDP, Georgia",172
"Willacoochee city, Georgia",X
"Williamson city, Georgia",260
"Wilmington Island CDP, Georgia",8294
"Winder city, Georgia",5355
"Winterville city, Georgia",474
"Woodbine city, Georgia",X
"Woodbury city, Georgia",145
"Woodstock city, Georgia",14694
"Wrens city, Georgia",X
"Wrightsville city, Georgia",X
"Yatesville town, Georgia",X
"Yonah CDP, Georgia",288
"Young Harris city, Georgia",167
"Zebulon city, Georgia",434
"Ahuimanu CDP, Hawaii",1341
"Aiea CDP, Hawaii",1069
"Ainaloa CDP, Hawaii",587
"Anahola CDP, Hawaii",244
"Black Sands CDP, Hawaii",165
"Captain Cook CDP, Hawaii",676
"Discovery Harbour CDP, Hawaii",445
"East Honolulu CDP, Hawaii",9264
"East Kapolei CDP, Hawaii",232
"Eden Roc CDP, Hawaii",345
"Eleele CDP, Hawaii",220
"Ewa Beach CDP, Hawaii",836
"Ewa Gentry CDP, Hawaii",2316
"Ewa Villages CDP, Hawaii",304
"Fern Acres CDP, Hawaii",457
"Fern Forest CDP, Hawaii",277
"Haena CDP, Hawaii",164
"Haiku-Pauwela CDP, Hawaii",3208
"Halaula CDP, Hawaii",136
"Halawa CDP, Hawaii",1025
"Haleiwa CDP, Hawaii",889
"Haliimaile CDP, Hawaii",183
"Hana CDP, Hawaii",274
"Hanalei CDP, Hawaii",137
"Hanamaulu CDP, Hawaii",310
"Hanapepe CDP, Hawaii",331
"Hauula CDP, Hawaii",560
"Hawaiian Acres CDP, Hawaii",980
"Hawaiian Beaches CDP, Hawaii",1116
"Hawaiian Ocean View CDP, Hawaii",1451
"Hawaiian Paradise Park CDP, Hawaii",3273
"Hawi CDP, Hawaii",522
"Heeia CDP, Hawaii",873
"Helemano CDP, Hawaii",644
"Hickam Housing CDP, Hawaii",2563
"Hilo CDP, Hawaii",5052
"Holualoa CDP, Hawaii",1139
"Honalo CDP, Hawaii",205
"Honaunau-Napoopoo CDP, Hawaii",680
"Honokaa CDP, Hawaii",408
"Honomu CDP, Hawaii",99
"Iroquois Point CDP, Hawaii",1057
"Kaaawa CDP, Hawaii",343
"Kaanapali CDP, Hawaii",631
"Kahaluu CDP, Hawaii",1017
"Kahaluu-Keauhou CDP, Hawaii",1777
"Kahuku CDP, Hawaii",231
"Kahului CDP, Hawaii",1699
"Kailua CDP (Hawaii County), Hawaii",5695
"Kailua CDP (Honolulu County), Hawaii",13321
"Kaiminani CDP, Hawaii",3914
"Kalaeloa CDP, Hawaii",305
"Kalaheo CDP, Hawaii",1707
"Kalihiwai CDP, Hawaii",X
"Kaloko CDP, Hawaii",466
"Kaneohe CDP, Hawaii",5456
"Kaneohe Base CDP, Hawaii",2383
"Kapaa CDP, Hawaii",2576
"Kapaau CDP, Hawaii",395
"Kapalua CDP, Hawaii",230
"Kapolei CDP, Hawaii",1685
"Kaunakakai CDP, Hawaii",375
"Kawela Bay CDP, Hawaii",X
"Kealakekua CDP, Hawaii",396
"Kekaha CDP, Hawaii",429
"Keokea CDP, Hawaii",409
"Kihei CDP, Hawaii",6788
"Kilauea CDP, Hawaii",957
"Koloa CDP, Hawaii",466
"Ko Olina CDP, Hawaii",829
"Kualapuu CDP, Hawaii",149
"Kula CDP, Hawaii",2766
"Kurtistown CDP, Hawaii",259
"Lahaina CDP, Hawaii",1772
"Laie CDP, Hawaii",857
"Lanai City CDP, Hawaii",344
"Launiupoko CDP, Hawaii",310
"Laupahoehoe CDP, Hawaii",345
"Lawai CDP, Hawaii",819
"Leilani Estates CDP, Hawaii",502
"Lihue CDP, Hawaii",1245
"Maalaea CDP, Hawaii",X
"Mahinahina CDP, Hawaii",431
"Maili CDP, Hawaii",1032
"Makaha CDP, Hawaii",1309
"Makakilo CDP, Hawaii",2751
"Makawao CDP, Hawaii",1840
"Mauna Loa Estates CDP, Hawaii",370
"Maunawili CDP, Hawaii",586
"Mililani Mauka CDP, Hawaii",2141
"Mililani Town CDP, Hawaii",3004
"Mokuleia CDP, Hawaii",756
"Mountain View CDP, Hawaii",680
"Nanakuli CDP, Hawaii",305
"Nanawale Estates CDP, Hawaii",393
"Napili-Honokowai CDP, Hawaii",2276
"Ocean Pointe CDP, Hawaii",2876
"Olinda CDP, Hawaii",485
"Omao CDP, Hawaii",455
"Orchidlands Estates CDP, Hawaii",658
"Paauilo CDP, Hawaii",105
"Paia CDP, Hawaii",675
"Papaikou CDP, Hawaii",179
"Paukaa CDP, Hawaii",138
"Pearl City CDP, Hawaii",2757
"Pepeekeo CDP, Hawaii",173
"Poipu CDP, Hawaii",686
"Princeville CDP, Hawaii",1247
"Puhi CDP, Hawaii",373
"Pukalani CDP, Hawaii",2051
"Punaluu CDP, Hawaii",275
"Pupukea CDP, Hawaii",2011
"Royal Hawaiian Estates CDP, Hawaii",200
"Royal Kunia CDP, Hawaii",806
"Schofield Barracks CDP, Hawaii",3183
"Seaview CDP, Hawaii",X
"Urban Honolulu CDP, Hawaii",38164
"Volcano CDP, Hawaii",301
"Volcano Golf Course CDP, Hawaii",198
"Wahiawa CDP, Hawaii",1212
"Waialua CDP, Hawaii",716
"Waianae CDP, Hawaii",635
"Waihee-Waiehu CDP, Hawaii",770
"Waikapu CDP, Hawaii",511
"Waikele CDP, Hawaii",680
"Waikoloa Beach Resort CDP, Hawaii",X
"Waikoloa Village CDP, Hawaii",2327
"Wailea CDP, Hawaii",3194
"Wailua CDP, Hawaii",517
"Wailua Homesteads CDP, Hawaii",1808
"Wailuku CDP, Hawaii",2553
"Waimalu CDP, Hawaii",1366
"Waimanalo CDP, Hawaii",460
"Waimanalo Beach CDP, Hawaii",338
"Waimea CDP (Hawaii County), Hawaii",2147
"Waimea CDP (Kauai County), Hawaii",251
"Wainaku CDP, Hawaii",159
"Wainiha CDP, Hawaii",124
"Waipahu CDP, Hawaii",622
"Waipio CDP, Hawaii",720
"Waipio Acres CDP, Hawaii",649
"West Loch Estate CDP, Hawaii",434
"Wheeler AFB CDP, Hawaii",492
"Whitmore Village CDP, Hawaii",194
"Aberdeen city, Idaho",401
"Albion city, Idaho",138
"American Falls city, Idaho",1434
"Ammon city, Idaho",10050
"Arbon Valley CDP, Idaho",290
"Arco city, Idaho",452
"Arimo city, Idaho",169
"Ashton city, Idaho",385
"Athol city, Idaho",X
"Avimor CDP, Idaho",744
"Bancroft city, Idaho",100
"Basalt city, Idaho",95
"Bellevue city, Idaho",1048
"Bennington CDP, Idaho",X
"Blackfoot city, Idaho",5288
"Blanchard CDP, Idaho",190
"Bloomington city, Idaho",119
"Boise City city, Idaho",128158
"Bonners Ferry city, Idaho",1179
"Buhl city, Idaho",1872
"Burley city, Idaho",3906
"Caldwell city, Idaho",21548
"Cambridge city, Idaho",120
"Carey city, Idaho",323
"Cascade city, Idaho",433
"Challis city, Idaho",408
"Chubbuck city, Idaho",7835
"Clark Fork city, Idaho",X
"Clifton city, Idaho",X
"Coeur d'Alene city, Idaho",29414
"Cottonwood city, Idaho",378
"Council city, Idaho",X
"Culdesac city, Idaho",104
"Dalton Gardens city, Idaho",1477
"Dayton city, Idaho",256
"Deary city, Idaho",179
"Declo city, Idaho",X
"Dietrich city, Idaho",135
"Donnelly city, Idaho",107
"Dover city, Idaho",428
"Downey city, Idaho",338
"Driggs city, Idaho",891
"Dubois city, Idaho",162
"Eagle city, Idaho",19116
"East Hope city, Idaho",178
"Eden city, Idaho",X
"Elk City CDP, Idaho",107
"Emmett city, Idaho",3478
"Fairfield city, Idaho",202
"Fernan Lake Village city, Idaho",100
"Fernwood CDP, Idaho",127
"Filer city, Idaho",1189
"Firth city, Idaho",129
"Fort Hall CDP, Idaho",435
"Franklin city, Idaho",463
"Fruitland city, Idaho",2580
"Gannett CDP, Idaho",112
"Garden City city, Idaho",6528
"Garden Valley CDP, Idaho",X
"Genesee city, Idaho",598
"Georgetown city, Idaho",263
"Glenns Ferry city, Idaho",X
"Gooding city, Idaho",1418
"Grace city, Idaho",469
"Grand View city, Idaho",X
"Grangeville city, Idaho",1712
"Greenleaf city, Idaho",332
"Groveland CDP, Idaho",480
"Hagerman city, Idaho",418
"Hailey city, Idaho",4098
"Hansen city, Idaho",X
"Harrison city, Idaho",111
"Hauser city, Idaho",410
"Hayden city, Idaho",8821
"Hayden Lake city, Idaho",X
"Hazelton city, Idaho",235
"Heyburn city, Idaho",1249
"Hidden Springs CDP, Idaho",1982
"Homedale city, Idaho",925
"Horseshoe Bend city, Idaho",338
"Idaho City city, Idaho",240
"Idaho Falls city, Idaho",32368
"Inkom city, Idaho",422
"Iona city, Idaho",1502
"Irwin city, Idaho",135
"Jerome city, Idaho",3497
"Juliaetta city, Idaho",324
"Kamiah city, Idaho",402
"Kellogg city, Idaho",1233
"Kendrick city, Idaho",170
"Ketchum city, Idaho",1983
"Kimberly city, Idaho",1972
"Kooskia city, Idaho",158
"Kootenai city, Idaho",408
"Kuna city, Idaho",12484
"Laclede CDP, Idaho",222
"Lava Hot Springs city, Idaho",117
"Lewiston city, Idaho",16762
"Lewisville city, Idaho",180
"Lincoln CDP, Idaho",2335
"McCall city, Idaho",2000
"McCammon city, Idaho",340
"Mackay city, Idaho",219
"Malad City city, Idaho",1389
"Marsing city, Idaho",340
"Melba city, Idaho",X
"Menan city, Idaho",365
"Meridian city, Idaho",65754
"Middleton city, Idaho",4825
"Midvale city, Idaho",99
"Montpelier city, Idaho",1509
"Moreland CDP, Idaho",X
"Moscow city, Idaho",13430
"Mountain Home city, Idaho",6644
"Mountain Home AFB CDP, Idaho",907
"Moyie Springs city, Idaho",310
"Mud Lake city, Idaho",162
"Mullan city, Idaho",X
"Nampa city, Idaho",43032
"Newdale city, Idaho",X
"New Meadows city, Idaho",187
"New Plymouth city, Idaho",721
"Nezperce city, Idaho",200
"Notus city, Idaho",247
"Oakley city, Idaho",X
"Onaway city, Idaho",144
"Orofino city, Idaho",1084
"Osburn city, Idaho",746
"Paris city, Idaho",285
"Parker city, Idaho",X
"Parma city, Idaho",743
"Paul city, Idaho",X
"Payette city, Idaho",3551
"Pierce city, Idaho",144
"Pinehurst city, Idaho",658
"Plummer city, Idaho",217
"Pocatello city, Idaho",28266
"Ponderay city, Idaho",715
"Post Falls city, Idaho",20701
"Potlatch city, Idaho",307
"Preston city, Idaho",2832
"Priest River city, Idaho",X
"Rathdrum city, Idaho",4833
"Rexburg city, Idaho",15065
"Richfield city, Idaho",X
"Rigby city, Idaho",2464
"Riggins city, Idaho",154
"Ririe city, Idaho",249
"Riverside CDP, Idaho",X
"Roberts city, Idaho",159
"Robie Creek CDP, Idaho",701
"Rockford CDP, Idaho",X
"Rockford Bay CDP, Idaho",169
"Rockland city, Idaho",X
"Rupert city, Idaho",1915
"St. Anthony city, Idaho",1541
"St. Charles city, Idaho",X
"St. Maries city, Idaho",925
"Salmon city, Idaho",1604
"Sandpoint city, Idaho",4622
"Shelley city, Idaho",2259
"Shoshone city, Idaho",496
"Silverton CDP, Idaho",241
"Smelterville city, Idaho",275
"Soda Springs city, Idaho",1538
"Spirit Lake city, Idaho",1088
"Star city, Idaho",6536
"Sugar City city, Idaho",970
"Sun Valley city, Idaho",1073
"Swan Valley city, Idaho",X
"Teton city, Idaho",273
"Tetonia city, Idaho",144
"Troy city, Idaho",522
"Twin Falls city, Idaho",22776
"Tyhee CDP, Idaho",600
"Ucon city, Idaho",549
"Victor city, Idaho",973
"Wallace city, Idaho",393
"Weippe city, Idaho",X
"Weiser city, Idaho",2273
"Wendell city, Idaho",781
"Weston city, Idaho",248
"Wilder city, Idaho",278
"Abingdon city, Illinois",1386
"Addieville village, Illinois",X
"Addison village, Illinois",12147
"Albany village, Illinois",X
"Albers village, Illinois",X
"Albion city, Illinois",956
"Aledo city, Illinois",1662
"Alexander CDP, Illinois",101
"Alexis village, Illinois",355
"Algonquin village, Illinois",17726
"Alhambra village, Illinois",X
"Allendale village, Illinois",X
"Allerton village, Illinois",X
"Alma village, Illinois",126
"Alpha village, Illinois",399
"Alsip village, Illinois",6553
"Altamont city, Illinois",1329
"Alton city, Illinois",9049
"Altona village, Illinois",X
"Alto Pass village, Illinois",115
"Amboy city, Illinois",1216
"Anchor village, Illinois",126
"Andalusia village, Illinois",X
"Andover village, Illinois",X
"Anna city, Illinois",1637
"Annawan town, Illinois",X
"Antioch village, Illinois",8736
"Apple Canyon Lake CDP, Illinois",381
"Apple River village, Illinois",200
"Arbury Hills CDP, Illinois",622
"Arcola city, Illinois",1015
"Arenzville village, Illinois",259
"Argenta village, Illinois",X
"Argyle CDP, Illinois",135
"Arlington Heights village, Illinois",48281
"Armington village, Illinois",119
"Aroma Park village, Illinois",311
"Arrowsmith village, Illinois",154
"Arthur village, Illinois",1154
"Ashkum village, Illinois",425
"Ashland village, Illinois",588
"Ashley city, Illinois",189
"Ashmore village, Illinois",295
"Ashton village, Illinois",459
"Assumption city, Illinois",546
"Astoria town, Illinois",X
"Athens city, Illinois",1030
"Atkinson town, Illinois",477
"Atlanta city, Illinois",815
"Atwood village, Illinois",562
"Auburn city, Illinois",2361
"Augusta village, Illinois",252
"Aurora city, Illinois",49904
"Ava city, Illinois",X
"Aviston village, Illinois",1571
"Avon village, Illinois",X
"Baldwin village, Illinois",142
"Banner village, Illinois",107
"Bannockburn village, Illinois",396
"Barrington village, Illinois",6961
"Barrington Hills village, Illinois",2620
"Barry city, Illinois",626
"Bartelso village, Illinois",X
"Bartlett village, Illinois",21238
"Bartonville village, Illinois",3091
"Batavia city, Illinois",17041
"Bay View Gardens village, Illinois",166
"Beach Park village, Illinois",4025
"Beardstown city, Illinois",1406
"Beaverville village, Illinois",X
"Beckemeyer village, Illinois",X
"Bedford Park village, Illinois",272
"Beecher village, Illinois",3046
"Beecher City village, Illinois",211
"Belgium village, Illinois",154
"Belle Rive village, Illinois",118
"Belleville city, Illinois",15623
"Bellevue village, Illinois",757
"Bellflower village, Illinois",X
"Bellmont village, Illinois",X
"Bellwood village, Illinois",490
"Belvidere city, Illinois",9904
"Bement village, Illinois",691
"Benld city, Illinois",674
"Bensenville village, Illinois",5419
"Benson village, Illinois",252
"Benton city, Illinois",2635
"Berkeley village, Illinois",942
"Berwyn city, Illinois",11358
"Bethalto village, Illinois",5104
"Bethany village, Illinois",699
"Biggsville village, Illinois",X
"Big Rock village, Illinois",806
"Bismarck village, Illinois",X
"Blandinsville village, Illinois",328
"Bloomingdale village, Illinois",11771
"Bloomington city, Illinois",37100
